epoch,task_id,category,grid_accuracy,cell_accuracy,grid_correct,grid_total,cell_correct,cell_total,copy_rate,change_recall,transformation_quality
18,9af7a82c,C1,0.0000,80.5467,0,400,34420,42733,0.0745,0.9525,0.477553
18,9edfc990,C1,0.7500,91.6381,3,400,111190,121336,0.3417,0.5113,0.136341
18,a2fd1cf0,S3,0.0000,97.7653,0,400,111953,114512,0.3918,0.2672,0.031252
18,a61f2674,C1,0.0000,96.9205,0,400,126931,130964,0.3909,0.9717,0.258936
18,a8d7556c,S3,0.2500,88.4902,1,400,113033,127735,0.3100,0.7784,0.215362
18,ac0a08a4,S2,5.5000,90.4468,22,400,75297,83250,0.2642,0.9048,0.732384
18,b1948b0a,C1,1.0000,93.6021,4,400,94862,101346,0.2887,0.5595,0.181017
18,b548a754,C1,0.0000,95.9892,0,400,115357,120177,0.3415,0.7560,0.173919
18,b6afb2da,C1,0.0000,92.2161,0,400,146951,159355,0.4036,0.9725,0.339023
18,b782dc8a,S3,0.0000,95.3274,0,400,111392,116852,0.3880,0.4322,0.070882
18,bbc9ae5d,C1,0.0000,91.1966,0,400,64890,71154,0.3637,0.9219,0.780168
18,bc1d5164,C1,0.0000,82.1165,0,400,22472,27366,0.3267,0.7302,0.594327
18,bdad9b1f,C1,0.0000,85.8556,0,400,98946,115247,0.3083,0.6348,0.202577
18,c909285e,S3,0.0000,75.0118,0,400,7973,10629,0.1703,0.8485,0.647488
18,c9e6f938,C1,8.2500,61.0911,33,400,58766,96194,0.1839,0.8791,0.321179
18,cce03e0d,S2,0.0000,80.5325,0,400,53294,66177,0.2300,0.9276,0.704012
18,ce9e57f2,C1,0.0000,97.3167,0,400,126066,129542,0.4038,0.7003,0.121384
18,cf98881b,C1,0.0000,56.4315,0,400,19856,35186,0.1769,0.8117,0.402820
18,d037b0a7,C1,0.2500,91.7090,1,400,103732,113110,0.3358,0.5502,0.176509
18,d4469b4b,C1,0.0000,39.1250,0,400,1252,3200,0.0698,0.9463,0.360486
18,d90796e8,C1,0.0000,96.0664,0,400,103745,107993,0.3884,0.1814,0.015694
18,db3e9e38,C1,0.0000,93.1431,0,400,95753,102802,0.2486,0.6773,0.187732
18,ddf7fa4f,C1,0.0000,98.5058,0,400,151428,153725,0.4074,0.9509,0.261610
18,e40b9e2f,C1,0.0000,92.3990,0,400,117587,127260,0.4136,0.2202,0.036214
18,e48d4e1a,C1,0.0000,92.8244,0,400,100863,108660,0.2956,0.7267,0.183918
18,e50d258f,C1,2.2500,47.0101,9,400,5566,11840,0.0999,0.9141,0.436765
18,e98196ab,C1,0.0000,77.5983,0,400,41990,54112,0.3930,0.6411,0.427110
18,e9afcf9a,C1,9.2500,89.5270,37,400,94220,105242,0.2304,0.8356,0.224646
18,eb281b96,S2,0.0000,85.3235,0,400,107662,126181,0.1738,0.9955,0.759178
18,ec883f72,C1,0.0000,97.7558,0,400,123183,126011,0.4338,0.0023,0.000129
18,f1cefba8,S3,0.0000,91.3253,0,400,126881,138933,0.3371,0.7260,0.240433
18,f25ffba3,C1,0.0000,78.6055,0,400,92264,117376,0.3118,0.7674,0.193572
18,f35d900a,S3,0.0000,88.0027,0,400,103162,117226,0.3470,0.5283,0.096246
