epoch,val_total_grids,val_total_cells,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
27,36416,8472261,0.03281525,0.89630124,0.31860735,0.67684855,0.29694831
28,36416,8472261,0.03259556,0.89924142,0.32223502,0.67808219,0.29789267
29,36416,8472261,0.03278779,0.89986935,0.32097393,0.68282275,0.29991063
0,64,19394,0.00000000,0.09054347,0.05400454,0.89694842,0.00650352
0,36416,8472261,0.03042619,0.74070877,0.28886840,0.69747911,0.24297545
1,36416,8472261,0.02979460,0.86929227,0.32537345,0.61883481,0.26725645
2,36416,8472261,0.03034380,0.88393429,0.32793525,0.64428927,0.27903649
3,36416,8472261,0.03133238,0.88653312,0.32547919,0.65649283,0.28299796
4,36416,8472261,0.03155207,0.88948287,0.32814192,0.65794998,0.28406375
5,36416,8472261,0.03270540,0.89067735,0.32781662,0.66174976,0.28647488
6,36416,8472261,0.03152460,0.88909938,0.32621005,0.66245774,0.28346564
7,36416,8472261,0.03152460,0.88965071,0.32494447,0.65968367,0.28350224
8,36416,8472261,0.03168937,0.89295278,0.33373273,0.65127082,0.28280879
9,36416,8472261,0.03248572,0.89529631,0.32729144,0.66607747,0.28771297
10,36416,8472261,0.03245826,0.89691784,0.32872478,0.66663952,0.28980744
11,36416,8472261,0.03300747,0.89830224,0.33266963,0.66297086,0.28850373
12,36416,8472261,0.03270540,0.89439608,0.32838052,0.66523043,0.28769683
13,36416,8472261,0.03289763,0.89468667,0.32758222,0.66927224,0.28757546
14,36416,8472261,0.03308985,0.89594903,0.32718236,0.67030882,0.29003268
15,36416,8472261,0.03292509,0.89772022,0.33381011,0.65853405,0.28765736
16,36416,8472261,0.03308985,0.89917945,0.32499406,0.67956087,0.29453524
17,36416,8472261,0.03289763,0.90008712,0.32671359,0.67675807,0.29443256
18,36416,8472261,0.03281525,0.89601453,0.32281566,0.67597434,0.29288238
19,36416,8472261,0.03311731,0.89629392,0.32902793,0.67000801,0.28977496
20,36416,8472261,0.03171683,0.89682801,0.32137011,0.68402260,0.29388733
21,36416,8472261,0.03319969,0.89956282,0.32266622,0.68028843,0.29632294
22,36416,8472261,0.03298001,0.90063727,0.32114557,0.68458965,0.29865200
23,36416,8472261,0.03325461,0.90121161,0.32012987,0.68938992,0.30006657
24,36416,8472261,0.03278779,0.89713761,0.31972652,0.67595933,0.29446215
25,36416,8472261,0.03292509,0.89710527,0.32244868,0.68231772,0.29423408
26,36416,8472261,0.03270540,0.89848389,0.32130326,0.68766617,0.29694865
27,36416,8472261,0.03319969,0.90003141,0.32402507,0.68091646,0.29599497
28,36416,8472261,0.03308985,0.90097578,0.31873143,0.69158553,0.30103159
29,36416,8472261,0.03306239,0.90200113,0.32193949,0.68721044,0.29954382
